Año,Periodo,Año_Mes,Víctimas_mortales
2018,Noviembre,2018-Noviembre,2
2018,Diciembre,2018-Diciembre,3
2019,Enero,2019-Enero,8
2019,Febrero,2019-Febrero,3
2019,Marzo,2019-Marzo,4
2019,Abril,2019-Abril,6
2019,Mayo,2019-Mayo,3
2019,Junio,2019-Junio,7
2019,Julio,2019-Julio,10
2019,Agosto,2019-Agosto,4
2019,Septiembre,2019-Septiembre,4
2019,Octubre,2019-Octubre,4
2019,Noviembre,2019-Noviembre,2
2019,Diciembre,2019-Diciembre,1
2020,Enero,2020-Enero,8
2020,Febrero,2020-Febrero,7
2020,Marzo,2020-Marzo,4
2020,Abril,2020-Abril,1
2020,Mayo,2020-Mayo,2
2020,Junio,2020-Junio,2
2020,Julio,2020-Julio,4
2020,Agosto,2020-Agosto,8
2020,Septiembre,2020-Septiembre,3
2020,Octubre,2020-Octubre,2
2020,Noviembre,2020-Noviembre,3
2020,Diciembre,2020-Diciembre,5
2021,Enero,2021-Enero,1
2021,Febrero,2021-Febrero,3
2021,Marzo,2021-Marzo,2
2021,Abril,2021-Abril,4
2021,Mayo,2021-Mayo,7
2021,Junio,2021-Junio,10
2021,Julio,2021-Julio,5
2021,Agosto,2021-Agosto,3
2021,Septiembre,2021-Septiembre,2
2021,Octubre,2021-Octubre,2
2021,Noviembre,2021-Noviembre,1
2021,Diciembre,2021-Diciembre,8
2022,Enero,2022-Enero,2
2022,Febrero,2022-Febrero,2
2022,Marzo,2022-Marzo,5
2022,Abril,2022-Abril,5
2022,Mayo,2022-Mayo,6
2022,Junio,2022-Junio,4
2022,Julio,2022-Julio,3
2022,Agosto,2022-Agosto,3
2022,Septiembre,2022-Septiembre,4
2022,Octubre,2022-Octubre,1
2022,Noviembre,2022-Noviembre,3
2022,Diciembre,2022-Diciembre,11
2023,Enero,2023-Enero,7
2023,Febrero,2023-Febrero,2
2023,Marzo,2023-Marzo,2
2023,Abril,2023-Abril,4
2023,Mayo,2023-Mayo,6
2023,Junio,2023-Junio,4
2023,Julio,2023-Julio,8
2023,Agosto,2023-Agosto,7
2023,Septiembre,2023-Septiembre,10
2023,Octubre,2023-Octubre,1
